date,pond,raindoy,year,precip_mm,risestarttime,riseendtime,norise,multiday,multipeak,exclude
2023-09-11,Strickers,254,2023,6.477,2023-09-11 03:30,2023-09-11 06:30,NA,NA,NA,NA
2023-09-12,Strickers,255,2023,1.27,NA,NA,X,NA,NA,NA
2023-09-13,Strickers,256,2023,5.715,NA,NA,X,NA,NA,NA
2023-09-17,Strickers,260,2023,2.921,NA,NA,X,NA,NA,NA
2023-09-19,Strickers,262,2023,13.589,2023-09-19 06:00,2023-09-19 10:00,NA,X,NA,NA
2023-09-22,Strickers,265,2023,1.524,NA,NA,X,NA,NA,NA
2023-09-23,Strickers,266,2023,0.508,NA,NA,X,NA,NA,NA
2023-09-25,Strickers,268,2023,55.499,2023-09-25 00:00,2023-09-27 18:00,NA,X,X,NA
2024-04-01,Strickers,92,2024,0.254,NA,NA,X,NA,NA,NA
2024-04-02,Strickers,93,2024,67.056,2024-04-01 14:00,2024-04-02 16:30,NA,X,X,NA
2024-04-04,Strickers,95,2024,2.032,NA,NA,X,NA,NA,NA
2024-04-05,Strickers,96,2024,0.508,NA,NA,X,NA,NA,NA
2024-04-08,Strickers,99,2024,4.572,2024-04-07 12:00,2024-04-07 14:10,NA,NA,NA,NA
2024-04-12,Strickers,103,2024,1.651,NA,NA,X,NA,NA,NA
2024-04-17,Strickers,108,2024,27.813,2024-04-16 18:30,2024-04-17 00:00,NA,NA,NA,NA
2024-04-18,Strickers,109,2024,0.254,NA,NA,X,NA,NA,NA
2024-04-19,Strickers,110,2024,1.778,NA,NA,X,NA,NA,NA
2024-04-23,Strickers,114,2024,0.508,NA,NA,X,NA,NA,NA
2024-04-27,Strickers,118,2024,4.191,2024-04-26 16:00,2024-04-26 18:10,NA,NA,NA,NA
2024-04-28,Strickers,119,2024,13.716,2024-04-27 21:00,2024-04-28 20:55,NA,X,X,NA
2024-04-30,Strickers,121,2024,1.27,NA,NA,X,NA,NA,NA
2024-05-01,Strickers,122,2024,0.254,NA,NA,X,NA,NA,NA
2024-05-03,Strickers,124,2024,4.064,2024-05-02 11:00,2024-05-02 13:10,NA,NA,NA,NA
2024-05-08,Strickers,129,2024,45.72,2024-05-07 14:05,2024-05-07 21:55,NA,NA,NA,NA
2024-05-09,Strickers,130,2024,10.668,2024-05-09 06:00,2024-05-09 11:00,NA,X,NA,NA
2024-05-13,Strickers,134,2024,7.874,2024-05-12 16:30,2024-05-12 17:35,NA,NA,NA,NA
2024-05-14,Strickers,135,2024,0.508,NA,NA,X,NA,NA,NA
2024-05-20,Strickers,141,2024,4.064,2024-05-19 18:00,2024-05-19 21:00,NA,NA,NA,NA
2024-05-21,Strickers,142,2024,4.064,NA,NA,X,NA,NA,NA
2024-05-22,Strickers,143,2024,47.625,2024-05-21 19:30,2024-05-21 23:00,NA,NA,NA,NA
2024-05-25,Strickers,146,2024,52.578,2024-05-24 10:00,2024-05-24 21:50,NA,NA,NA,NA
2024-05-27,Strickers,148,2024,16.764,2024-05-26 12:20,2024-05-26 18:25,NA,NA,X,NA
2024-05-28,Strickers,149,2024,0.127,NA,NA,X,NA,NA,NA
2024-05-29,Strickers,150,2024,8.128,2024-05-28 14:05,2024-05-28 15:15,NA,NA,NA,NA
2024-05-31,Strickers,152,2024,3.302,2024-05-30 15:35,2024-05-30 16:50,NA,NA,NA,NA
2024-06-02,Strickers,154,2024,21.209,2024-06-01 09:30,2024-06-01 14:00,NA,NA,NA,NA
2024-06-04,Strickers,156,2024,14.351,2024-06-03 12:50,2024-06-03 19:10,NA,NA,X,NA
2024-06-05,Strickers,157,2024,9.398,2024-06-04 20:00,2024-06-04 21:55,NA,NA,NA,NA
2024-06-06,Strickers,158,2024,4.699,2024-06-05 18:45,2024-06-05 21:00,NA,NA,NA,NA
2024-06-09,Strickers,161,2024,2.032,NA,NA,X,NA,NA,NA
2024-06-13,Strickers,165,2024,12.446,2024-06-12 17:25,2024-06-13 07:00,NA,NA,X,NA
2024-06-16,Strickers,168,2024,1.524,NA,NA,X,NA,NA,NA
2024-06-17,Strickers,169,2024,3.302,NA,NA,X,NA,NA,NA
2024-06-20,Strickers,172,2024,6.096,2024-06-20 03:00,2024-06-20 06:00,NA,NA,NA,NA
2024-06-21,Strickers,173,2024,2.54,NA,NA,X,NA,NA,NA
2024-06-22,Strickers,174,2024,48.006,2024-06-21 14:30,2024-06-22 22:00,NA,X,X,NA
2024-06-24,Strickers,176,2024,0.254,NA,NA,X,NA,NA,NA
2024-06-25,Strickers,177,2024,10.922,2024-06-24 19:05,2024-06-24 22:00,NA,NA,NA,NA
2024-06-28,Strickers,180,2024,1.905,NA,NA,X,NA,NA,NA
2024-06-29,Strickers,181,2024,33.401,2024-06-28 21:40,2024-06-29 01:55,NA,NA,NA,NA
